position,solo_tackle,assist_tackle,sack,safety,interception,def_touchdown,fumble_forced,games_played_season,dpoy,allpro
11,36,22,18,0,8,2,8,0,0,0
9,48,35,0,0,0,0,0,8,0,0
9,3,0,0,3,0,0,0,2,0,0
4,19,11,8,0,0,0,0,0,0,0
4,6,9,0,0,0,0,0,0,0,0
1,21,5,0,0,4,2,0,0,0,0
1,2,1,0,0,0,0,0,6,0,0
3,39,16,15,0,0,0,2,6,0,0
4,1,1,0,0,0,0,0,1,0,0
4,2,2,0,0,0,0,0,1,0,0
7,1,1,0,0,0,0,0,2,0,0
4,8,7,8,0,1,0,3,4,0,0
6,21,8,2,0,2,0,2,4,0,0
11,110,31,3,0,2,0,1,10,0,0
3,70,12,35,0,0,0,11,11,0,0
11,10,2,0,0,0,0,0,2,0,1
11,4,0,4,0,0,0,0,3,0,0
1,30,10,0,0,2,0,0,2,0,0
11,4,6,0,0,0,0,0,0,0,0
7,7,3,0,0,0,0,0,7,0,0
13,3,0,0,0,0,0,0,3,0,0
3,9,1,4,0,0,0,0,14,0,0
3,3,0,0,0,0,0,0,8,0,0
3,8,3,4,0,0,0,0,15,0,0
3,5,1,4,0,0,0,0,16,0,0
11,19,8,0,0,0,0,0,7,0,0
2,8,1,0,0,2,0,0,5,0,0
11,68,41,19,0,2,0,0,0,0,0
7,32,7,0,0,0,0,1,1,0,0
1,49,21,0,0,0,0,3,8,0,0
3,52,15,25,0,1,0,5,6,0,0
3,19,15,11,0,0,0,1,11,0,0
1,29,7,0,0,4,0,0,5,0,0
1,28,1,0,0,4,2,0,6,0,0
9,8,3,0,0,0,0,0,8,0,0
1,14,4,0,0,0,0,0,9,0,0
1,4,1,0,0,0,0,0,1,0,0
3,14,0,8,0,0,0,0,2,0,0
1,16,7,3,0,2,0,0,3,0,0
13,6,9,0,0,2,0,0,1,0,0
3,30,11,10,0,0,0,3,0,0,0
1,45,14,0,0,4,4,0,3,0,0
1,42,13,3,0,3,1,6,7,0,0
7,53,35,8,0,0,0,2,0,0,0
6,3,2,0,0,0,0,0,4,0,0
9,31,11,4,0,1,1,2,0,0,0
13,48,15,0,0,0,0,8,0,0,0
4,17,11,0,0,0,0,1,0,0,0
3,37,15,12,0,0,0,0,12,0,0
11,2,0,0,0,0,0,0,1,0,0
10,16,13,0,0,0,0,0,1,0,0
11,1,0,0,0,0,0,0,1,0,0
8,7,0,3,0,0,0,4,2,0,0
12,67,30,0,0,3,2,0,6,0,0
7,23,10,0,0,2,0,2,2,0,0
3,9,8,7,0,0,0,0,2,0,0
3,18,8,10,0,0,0,4,14,0,0
4,15,3,0,0,0,0,0,0,0,0
1,54,5,4,0,6,0,0,0,0,0
8,73,16,51,0,0,0,3,0,0,0
4,27,24,9,0,0,0,0,6,0,0
6,33,11,0,0,2,0,0,4,0,0
12,33,14,0,0,4,0,0,13,0,0
9,118,34,3,0,4,0,1,9,0,0
1,5,3,0,0,0,0,0,1,0,0
9,63,65,3,0,0,0,1,0,0,0
10,3,2,0,0,0,0,0,14,0,0
6,23,9,0,0,8,4,2,0,0,0
6,59,28,0,0,10,0,8,4,0,1
8,55,15,15,5,1,0,4,0,0,0
12,26,13,4,0,0,0,1,10,0,0
6,2,0,0,0,0,0,0,0,0,0
13,71,18,4,0,8,0,4,0,0,0
3,3,12,0,0,0,0,0,7,0,0
3,52,24,36,0,3,0,2,0,0,0
6,17,3,0,0,0,0,0,8,0,0
1,54,7,0,0,4,0,6,15,0,0
4,35,14,7,0,1,0,3,8,0,0
1,18,6,3,0,2,0,0,2,0,0
3,71,26,49,0,3,0,0,0,0,0
3,43,9,15,0,2,0,0,6,0,0
10,30,13,7,0,1,0,9,12,0,0
1,62,7,0,0,8,0,2,6,0,0
11,61,31,0,0,2,0,0,2,0,0
10,17,9,0,0,0,0,0,14,0,0
6,23,4,0,0,2,0,2,11,0,0
1,15,3,0,0,0,0,2,1,0,0
1,37,7,0,0,2,0,0,1,0,0
4,4,3,0,0,0,0,0,4,0,0
1,29,15,0,0,0,0,0,5,0,0
6,13,2,0,0,4,2,0,13,0,0
9,1,0,0,0,0,0,0,4,0,0
9,30,24,10,0,0,0,4,10,0,0
11,26,7,11,0,0,0,4,16,0,0
12,71,25,4,0,4,0,4,0,0,0
4,10,12,4,0,0,0,2,17,0,0
13,4,0,0,0,2,0,0,4,0,0
10,9,6,0,0,0,0,0,10,0,0
8,0,1,0,0,0,0,0,11,0,0
9,63,39,1,0,0,0,7,0,0,0
5,69,31,0,0,4,0,1,1,0,0
12,24,9,0,0,4,0,0,2,0,0
1,78,24,0,0,8,0,3,5,0,0
1,27,6,3,0,4,0,4,6,0,0
7,2,1,0,0,0,0,0,2,0,0
12,9,3,0,0,2,0,2,11,0,0
3,8,3,3,0,0,0,4,5,0,0
5,2,0,0,0,0,0,0,14,0,0
4,15,16,7,0,0,0,0,0,0,0
5,10,5,0,0,0,0,0,7,0,0
8,11,4,4,0,0,0,0,17,0,0
4,21,4,5,0,0,0,2,5,0,0
12,6,0,0,0,0,0,0,4,0,0
10,8,5,0,0,1,0,0,12,0,0
11,2,0,0,0,0,0,0,10,0,0
1,58,8,0,0,2,2,0,0,0,0
1,31,5,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,12,0,0
1,1,0,0,0,0,0,0,0,0,0
12,2,1,0,0,0,0,0,3,0,0
4,4,5,3,0,0,0,0,1,0,0
12,3,2,0,0,0,0,0,2,0,0
1,13,0,4,0,0,0,0,3,0,0
13,44,22,0,0,2,0,0,3,0,0
4,1,0,0,0,0,0,0,6,0,0
4,6,1,0,0,0,0,0,6,0,0
1,30,5,4,0,6,0,0,0,0,0
8,2,4,0,0,0,0,0,5,0,0
3,0,5,0,0,0,0,0,7,0,0
9,26,7,0,0,4,0,0,9,0,0
1,15,3,4,0,0,0,0,8,0,0
8,2,0,0,0,0,0,0,1,0,0
8,1,0,0,0,0,0,0,1,0,0
1,4,1,0,0,0,0,0,11,0,0
11,31,3,18,0,1,0,3,5,0,0
8,31,19,4,0,0,0,0,0,0,0
4,10,10,0,0,1,1,0,0,0,0
3,35,15,30,0,0,0,8,4,0,0
1,11,4,0,0,4,0,0,12,0,0
10,8,5,0,0,0,0,0,9,0,0
7,4,1,0,0,0,0,2,4,0,0
12,66,22,0,0,10,0,3,0,0,0
1,28,10,4,0,0,0,0,0,0,0
5,54,16,0,0,0,0,0,13,0,0
5,54,20,4,0,2,0,6,4,0,0
11,66,28,16,0,0,0,2,9,0,0
1,53,8,0,0,0,0,4,8,0,0
11,23,10,10,0,0,0,2,0,0,0
3,49,20,23,0,3,2,16,0,0,0
8,36,27,2,0,2,0,4,15,0,0
11,22,4,18,0,0,0,2,0,0,0
4,9,16,0,0,0,0,0,0,0,0
7,65,37,4,0,0,0,10,0,0,0
1,1,1,0,0,0,0,0,9,0,0
13,15,3,0,0,0,0,0,1,0,0
1,2,1,0,0,0,0,0,8,0,0
12,88,46,8,0,4,0,7,0,0,0
3,14,14,7,0,0,0,4,1,0,0
4,7,4,0,0,0,0,0,5,0,0
13,59,21,0,0,8,2,2,11,0,0
7,46,47,13,0,2,2,4,3,0,0
4,19,13,1,0,0,0,3,0,0,0
4,11,4,0,0,0,0,2,0,0,0
3,36,19,16,0,0,0,0,1,0,0
3,46,9,32,0,2,2,0,0,0,0
7,18,12,0,0,2,0,0,5,0,0
7,68,71,17,0,0,1,4,0,0,0
1,68,22,2,0,4,1,5,1,0,0
12,4,0,0,0,0,0,0,10,0,0
4,78,24,52,0,2,0,11,0,0,1
4,1,2,0,0,0,0,0,1,0,0
8,41,9,16,0,1,0,1,7,0,0
12,67,31,0,0,0,0,5,0,0,0
1,10,4,0,0,0,0,0,6,0,0
12,24,2,0,0,0,0,0,8,0,0
1,10,3,0,0,0,0,0,0,0,0
1,44,6,2,0,0,0,5,13,0,0
10,11,11,0,0,0,0,0,3,0,0
5,10,7,2,0,2,0,2,4,0,0
3,0,0,0,0,0,0,0,7,0,0
3,28,13,7,0,0,0,4,2,0,0
4,37,29,19,0,0,0,2,0,0,0
12,76,31,4,0,8,0,4,8,0,1
1,1,0,0,0,0,0,0,5,0,0
3,75,27,45,0,0,0,5,1,0,0
3,13,6,0,0,0,0,0,2,0,0
11,7,3,4,0,0,0,0,1,0,0
